WL,A25ME,A30ME,A35ME,A40ME,A45ME,A50ME,A55ME,A60ME,A65ME,A70ME,A75MEREF,A80ME,A85ME,A90ME
238.3,-892438.4539,-841639.1613,-858811.7342,-883693.9545,-901927.2507,-895895.2576,-922405.3797,-951564.3249,-941508.3496,-955954.4855,-904215.8657,-914657.9204,-916791.3076,-932200.6519
238.2,-915786.3071,-865880.5694,-888090.0854,-907837.8477,-927997.5607,-915840.0398,-950630.968,-969473.2348,-964103.945,-972854.4147,-925239.2821,-936955.0008,-937691.3378,-953232.0287
238.1,-938570.962,-890607.5619,-917684.8625,-930984.7008,-950853.8592,-938149.0608,-977576.922,-988104.551,-987097.5604,-990918.5524,-945365.1634,-958927.6949,-960185.4381,-974645.5047
238,-962446.1917,-916823.1492,-946254.7381,-954513.6531,-974098.2272,-960963.5672,-1002413.37,-1006433.372,-1009398.621,-1010357.849,-965696.025,-981304.3793,-983827.8261,-996606.2582
237.9,-986205.9956,-944238.7668,-973544.9794,-978432.665,-996252.0204,-985557.223,-1026280.639,-1023840.777,-1032024.068,-1030837.968,-986460.7284,-1003499.965,-1006775.669,-1020433.726
237.8,-1009981.72,-973138.999,-1000725.765,-1001965.598,-1018393.873,-1010893.186,-1049554.859,-1041928.796,-1054906.238,-1053966.911,-1008696.116,-1026025.907,-1028029.937,-1044535.827
237.7,-1033389.277,-1002186.499,-1026189.095,-1025066.678,-1039037.18,-1038704.834,-1073571.386,-1061495.459,-1078152.596,-1079002.369,-1033052.95,-1049608.592,-1049706.106,-1069543.423
237.6,-1056297.318,-1032724.583,-1051103.157,-1048543.888,-1061324.31,-1067688.65,-1097219.744,-1081907.915,-1103474.628,-1106344.352,-1057873.477,-1073314.663,-1070510.612,-1093741.049
237.5,-1078608.329,-1062705.44,-1075806.268,-1072809.177,-1084387.579,-1097983.942,-1119562.597,-1102752.222,-1129640.463,-1136361.031,-1084234.341,-1097032.675,-1092312.157,-1119652.151
237.4,-1100413.854,-1092226.583,-1100662.617,-1097985.932,-1107789.165,-1127875.244,-1141969.133,-1124320.926,-1155557.535,-1167042.402,-1110766.355,-1121311.895,-1115007.258,-1146319.491
237.3,-1122476.103,-1121220.35,-1122997.509,-1123327.866,-1131610.662,-1158924.785,-1162934.836,-1145234.887,-1180515.379,-1195681.932,-1138227.745,-1145646.837,-1136780.942,-1171995.761
237.2,-1145559.273,-1150456.909,-1146235.907,-1150600.196,-1156636.17,-1190770.365,-1184302.54,-1168771.799,-1204388.619,-1225650.847,-1165466.243,-1169609.631,-1160266.112,-1196519.764
237.1,-1168610.601,-1179203.904,-1169663.364,-1177707.348,-1182250.747,-1223214.965,-1207278.244,-1192732.603,-1229057.899,-1255446.625,-1193301.772,-1195427.199,-1184332.391,-1222357.232
237,-1192609.217,-1207264.314,-1193773.426,-1204709.025,-1208617.582,-1255607.823,-1230536.543,-1219145.211,-1253741.109,-1285270.263,-1223792.094,-1221935.331,-1208384.74,-1248831.532
236.9,-1217356.111,-1236158.575,-1219103.418,-1231995.286,-1235197.357,-1287361.858,-1254131.169,-1246200.62,-1279260.161,-1315949.645,-1254015.743,-1248025.542,-1232795.306,-1275297.872
236.8,-1243211.49,-1263357.272,-1245390.649,-1259962.162,-1261401.004,-1319159.676,-1276806.368,-1274422.228,-1303302.559,-1347464.868,-1283331.906,-1274577.456,-1257273.536,-1301053.746
236.7,-1270547.503,-1290902.246,-1272726.663,-1289853.464,-1287282.254,-1350177.375,-1300538.31,-1303571.223,-1327426.552,-1377306.418,-1313097.832,-1302020.935,-1281524.895,-1326051.392
236.6,-1299121.359,-1317979.547,-1299622.864,-1320025.37,-1314944.644,-1379853.746,-1326158.858,-1333432.673,-1351741.593,-1405699.175,-1343104.559,-1329410.681,-1305605.105,-1350219.167
236.5,-1328178.809,-1345021.026,-1328642.503,-1352063.99,-1344095.629,-1407392.75,-1353039.139,-1364884.214,-1376920.339,-1434673.041,-1372605.802,-1355222.278,-1330801.761,-1374581.971
236.4,-1358354.696,-1373521.248,-1359421.389,-1383877.728,-1373752.099,-1434282.981,-1381344.331,-1397300.953,-1402505.064,-1464098.659,-1403229.461,-1383071.738,-1355154.615,-1399730.865
236.3,-1390562.474,-1401042.341,-1391571.455,-1416491.487,-1404329.986,-1461193.113,-1410700.296,-1430670.949,-1428828.117,-1490986.9,-1432209.297,-1410610.741,-1378960.191,-1423210.065
236.2,-1423311.56,-1428545.523,-1424232.976,-1448551.998,-1435379.526,-1488232.602,-1440424.43,-1464148.412,-1454794.942,-1517608.468,-1460420.954,-1437817.399,-1404391.679,-1445638.492
236.1,-1457051.715,-1454769.07,-1456681.556,-1480918.984,-1467376.354,-1514886.011,-1470956.544,-1496519.378,-1480610.519,-1544237.996,-1486736.047,-1465153.412,-1429793.315,-1466106.67
236,-1491619.752,-1480721.964,-1489064.464,-1511871.01,-1496459.675,-1541256.826,-1503554.382,-1528816.711,-1507150.492,-1569560.028,-1513027.258,-1492085.435,-1455712.378,-1486642.512
235.9,-1526748.997,-1506529.581,-1523278.263,-1542311.579,-1525365.878,-1567798.79,-1536347.25,-1562047.401,-1535145.229,-1595162.665,-1538251.775,-1520669.242,-1481104.064,-1506971.383
