WL,BCoh25ME,BCoh30ME,BCoh35ME,BCoh40ME,BCoh45ME,BCoh50ME,BCoh55ME,BCoh60ME,BCoh65ME,BCoh70ME,BCoh75ME,BCoh80ME,Bcoh 85ME,Bcoh90ME
225,-14937344.36,-14754849.32,-14744496.24,-14873897.26,-14464160.8,-14084831.82,-14128049.05,-14079667.81,-13827734.41,-13979220.34,-13656244.22,-13774640.39,-14009201.66,-13660179.9
224.9,-15031098.68,-14875250.93,-14825942.17,-14956646.72,-14539013.84,-14163545.34,-14193401.33,-14154470.72,-13937908.27,-14066657.52,-13701266.35,-13848791.53,-14069189.39,-13718939.29
224.8,-15117959.3,-14990012.23,-14912125.96,-15023377.74,-14606221.15,-14241130.8,-14254742.72,-14233710.67,-14043269.08,-14153919.23,-13744257.97,-13920160.13,-14125291.57,-13781333.54
224.7,-15193363.85,-15104723.4,-15008587.62,-15087952.91,-14670144.55,-14312073.24,-14323604.52,-14317237.25,-14148429.34,-14239150.43,-13794218.5,-13977716.26,-14179388.32,-13842800.28
224.6,-15266888.29,-15222016.57,-15110163.16,-15146411.48,-14736399.28,-14380157.93,-14381411.33,-14400086.99,-14249653.92,-14318766.4,-13843527.25,-14029155.79,-14229148.3,-13897047.43
224.5,-15338256.89,-15333869.99,-15213769.2,-15205471.69,-14799319.96,-14446387.58,-14435959.3,-14491434.78,-14338820.8,-14401891.88,-13906096.98,-14078840.57,-14274370.97,-13950216.66
224.4,-15418825.44,-15441562.12,-15311383.99,-15261072.52,-14865725.09,-14516176.9,-14496749.2,-14589124.78,-14418211.15,-14484666.42,-13977791.46,-14129177.11,-14323704.79,-13996617.53
224.3,-15505911.67,-15548201.39,-15406842.94,-15315745.82,-14928796.18,-14591631.58,-14549692.81,-14694360.24,-14485894.75,-14570298.71,-14047881.59,-14177884.24,-14364716.04,-14042441.83
224.2,-15592496.54,-15658751.27,-15500772.73,-15371497.06,-15001919.53,-14675559.24,-14600229.9,-14799370.09,-14547135.88,-14657510.28,-14128650.68,-14226365.75,-14393017.81,-14094909.16
224.1,-15673541.39,-15760652.69,-15589237.7,-15424340.4,-15075368.77,-14760589.9,-14650716.85,-14908440.96,-14612663.63,-14746050.46,-14215912.39,-14269582.98,-14415579.01,-14155222.76
224,-15757017.83,-15859545.95,-15670508.16,-15474000.11,-15150547.7,-14849355.68,-14697694.28,-15012924.38,-14679845.87,-14830278.94,-14300867.84,-14309817.12,-14432274.3,-14203002.37
223.9,-15836383.12,-15951746.05,-15759299.02,-15522381.35,-15225175.14,-14930926.96,-14744095.15,-15111466.69,-14746827.56,-14915660.54,-14387327.38,-14351254.52,-14446136.9,-14250907.32
223.8,-15912063.41,-16039433.92,-15848039.74,-15571614.9,-15296142.65,-15012598.5,-14791548.88,-15205571.96,-14813859.4,-14990262.91,-14475040.31,-14394496.82,-14459046.92,-14292745.81
223.7,-15989648.87,-16116267.34,-15938610.42,-15624357.97,-15364452.95,-15095498.38,-14842386.78,-15285939.97,-14876629.67,-15052080.6,-14562552.7,-14438591.44,-14481081.7,-14331551.08
